split_point,batch_size,offload_model_state_sp_num,client_offload_activation_mb_num,server_offload_activation_mb_num,client_max_mem_alloc_mb,server_max_mem_alloc_mb,filename
4,8,2,8,8,4056.7837,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_2_soa_8.json
4,8,3,8,0,3864.4546,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_3.json
4,8,3,8,1,3864.4546,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_3_soa_1.json
4,8,3,8,4,3864.4546,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_3_soa_4.json
4,8,3,8,6,3864.4546,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_3_soa_6.json
4,8,3,8,8,3864.4546,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_3_soa_8.json
4,8,4,8,0,3672.1255,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_4.json
4,8,4,8,1,3672.1255,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_4_soa_1.json
4,8,4,8,4,3672.1255,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_4_soa_4.json
4,8,4,8,6,3672.1255,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_4_soa_6.json
4,8,4,8,8,3672.1255,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_cos_4_soa_8.json
4,8,0,8,1,4411.7471,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_soa_1.json
4,8,0,8,4,4411.7471,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_soa_4.json
4,8,0,8,6,4411.7471,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_soa_6.json
4,8,0,8,8,4411.7471,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_8_soa_8.json
4,8,1,0,0,6387.7085,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_1.json
4,8,1,0,1,6387.7085,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_1_soa_1.json
4,8,1,0,4,6387.7085,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_1_soa_4.json
4,8,1,0,6,6387.7085,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_1_soa_6.json
4,8,1,0,8,6387.7085,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_1_soa_8.json
4,8,2,0,0,6195.3794,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_2.json
4,8,2,0,1,6195.3794,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_2_soa_1.json
4,8,2,0,4,6195.3794,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_2_soa_4.json
4,8,2,0,6,6195.3794,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_2_soa_6.json
4,8,2,0,8,6195.3794,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_2_soa_8.json
4,8,3,0,0,6003.0503,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_3.json
4,8,3,0,1,6003.0503,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_3_soa_1.json
4,8,3,0,4,6003.0503,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_3_soa_4.json
4,8,3,0,6,6003.0503,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_3_soa_6.json
4,8,3,0,8,6003.0503,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_3_soa_8.json
4,8,4,0,0,5810.7212,16939.9575,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_4.json
4,8,4,0,1,5810.7212,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_4_soa_1.json
4,8,4,0,4,5810.7212,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_4_soa_4.json
4,8,4,0,6,5810.7212,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_4_soa_6.json
4,8,4,0,8,5810.7212,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_cos_4_soa_8.json
4,8,0,0,1,6550.3428,16940.2896,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_soa_1.json
4,8,0,0,4,6550.3428,13714.7153,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_soa_4.json
4,8,0,0,6,6550.3428,10482.5591,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_soa_6.json
4,8,0,0,8,6550.3428,7250.4028,sp_4_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_soa_8.json
